日期,时段序号,开始时刻,结束时刻,时间区间,时长_h,区间平均电价,预测负载功率,预测光伏功率,预测净负荷功率
2025-07-19,110,18:10,18:20,18:10—18:20,0.166667,1.250400,4192.471680,731.654688,3460.816992
2025-07-19,111,18:20,18:30,18:20—18:30,0.166667,1.249600,4174.367432,518.748116,3655.619316
2025-07-19,112,18:30,18:40,18:30—18:40,0.166667,1.253350,4163.259277,321.145924,3842.113353
2025-07-19,113,18:40,18:50,18:40—18:50,0.166667,1.270150,4190.663330,151.152796,4039.510534
2025-07-19,114,18:50,19:00,18:50—19:00,0.166667,1.317350,4212.888184,38.512003,4174.376181
2025-07-19,115,19:00,19:10,19:00—19:10,0.166667,1.349450,4205.621582,0.000000,4205.621582
2025-07-19,116,19:10,19:20,19:10—19:20,0.166667,1.348400,4183.734131,1.240883,4182.493248
2025-07-19,117,19:20,19:30,19:20—19:30,0.166667,1.346400,4170.744629,1.240883,4169.503746
2025-07-19,118,19:30,19:40,19:30—19:40,0.166667,1.348650,4195.787598,0.000000,4195.787598
2025-07-19,119,19:40,19:50,19:40—19:50,0.166667,1.348150,4237.846436,0.089099,4237.757336
2025-07-19,120,19:50,20:00,19:50—20:00,0.166667,1.347750,4255.317871,0.089099,4255.228772
2025-07-19,121,20:00,20:10,20:00—20:10,0.166667,1.349750,4250.290527,0.000000,4250.290527
2025-07-19,122,20:10,20:20,20:10—20:20,0.166667,1.345650,4248.776855,0.006393,4248.770463
2025-07-19,123,20:20,20:30,20:20—20:30,0.166667,1.344450,4255.468994,0.006393,4255.462601
2025-07-19,124,20:30,20:40,20:30—20:40,0.166667,1.372050,4244.401123,0.000000,4244.401123
2025-07-19,125,20:40,20:50,20:40—20:50,0.166667,1.308900,4224.025146,0.000273,4224.024874
2025-07-19,126,20:50,21:00,20:50—21:00,0.166667,1.077900,4195.186523,0.000273,4195.186251
2025-07-19,127,21:00,21:10,21:00—21:10,0.166667,0.920000,4170.848145,0.000000,4170.848145
2025-07-19,128,21:10,21:20,21:10—21:20,0.166667,0.921950,4165.055420,0.000000,4165.055420
2025-07-19,129,21:20,21:30,21:20—21:30,0.166667,0.937100,4209.769775,0.000000,4209.769775
2025-07-19,130,21:30,21:40,21:30—21:40,0.166667,0.962100,4290.107666,0.000000,4290.107666
2025-07-19,131,21:40,21:50,21:40—21:50,0.166667,0.881750,4293.010498,0.000000,4293.010498
2025-07-19,132,21:50,22:00,21:50—22:00,0.166667,0.598650,4130.271484,0.000000,4130.271484
2025-07-19,133,22:00,22:10,22:00—22:10,0.166667,0.403400,3910.305664,0.000000,3910.305664
2025-07-19,134,22:10,22:20,22:10—22:20,0.166667,0.411350,3840.137451,0.000000,3840.137451
2025-07-19,135,22:20,22:30,22:20—22:30,0.166667,0.428300,3815.283203,0.000000,3815.283203
2025-07-19,136,22:30,22:40,22:30—22:40,0.166667,0.419200,3759.873169,0.000000,3759.873169
2025-07-19,137,22:40,22:50,22:40—22:50,0.166667,0.421350,3731.192017,0.000000,3731.192017
2025-07-19,138,22:50,23:00,22:50—23:00,0.166667,0.423900,3795.931396,0.000000,3795.931396
2025-07-19,139,23:00,23:10,23:00—23:10,0.166667,0.424250,3798.850464,0.000000,3798.850464
2025-07-19,140,23:10,23:20,23:10—23:20,0.166667,0.424400,3744.652710,0.000000,3744.652710
2025-07-19,141,23:20,23:30,23:20—23:30,0.166667,0.423000,3910.958374,0.000000,3910.958374
2025-07-19,142,23:30,23:40,23:30—23:40,0.166667,0.423000,3938.297974,0.000000,3938.297974
2025-07-19,143,23:40,23:50,23:40—23:50,0.166667,0.425550,3935.769897,0.000000,3935.769897
2025-07-19,144,23:50,次日00:00,23:50—次日00:00,0.166667,0.427350,4268.972534,0.000000,4268.972534
2025-07-20,1,00:00,00:10,00:00—00:10,0.166667,0.426200,4747.006563,0.000000,4747.006563
