24:00基础模型,边界预测方法,评价对象,月份,样本数,MAE,RMSE,WAPE_percent,Bias,MAPE_percent,R2
Baseline,目标时刻上周同期,最后10分钟区间平均,6,30,273.60398333333336,371.0684159199617,7.118987975066887,-143.78766333333334,7.232121888488242,0.40991136099930625
Baseline,目标时刻上周同期,次日00:10端点,7,31,265.6172419354839,353.2032119016669,6.170681522843119,-64.91960322580644,6.157927479863852,0.4748242297083973
Baseline,目标时刻上周同期,最后10分钟区间平均,7,31,236.5349596774194,329.74450020150334,5.464711514215195,-81.08883387096778,5.52376095626947,0.5246097932618464
Baseline,目标时刻上周同期,次日00:10端点,8,31,167.47304193548385,224.54734436798228,4.016269350084142,51.66413225806454,4.009812126073139,0.788950921273704
Baseline,目标时刻上周同期,最后10分钟区间平均,8,31,168.72710161290323,224.38547831592265,4.026156194601701,65.2788403225807,4.071313520735291,0.7999439228123834
Baseline,目标时刻上周同期,次日00:10端点,9,30,317.4178599999999,404.1386174088398,9.460443136975218,176.21339333333327,9.900831113011419,0.37671785090406884
Baseline,目标时刻上周同期,最后10分钟区间平均,9,30,267.9465466666667,384.04248936237354,7.979362685036973,159.04286333333337,8.18449499191449,0.32602426926437644
Baseline,目标时刻上周同期,次日00:10端点,10,31,117.00005806451614,149.08805025123306,3.7628751970904775,19.164819354838734,3.927561061482067,0.9073603488316103
Baseline,目标时刻上周同期,最后10分钟区间平均,10,31,101.47524193548382,151.62870237335852,3.2487113377640835,32.508216129032256,3.4428059264062005,0.8900503375430098
Baseline,目标时刻上周同期,次日00:10端点,11,30,113.21751333333333,156.82927471980693,3.5808073874537065,1.53454666666665,3.6435751395322575,0.87798029790508
Baseline,目标时刻上周同期,最后10分钟区间平均,11,30,102.22843333333329,121.25013428027685,3.240859458137482,1.7417733333333216,3.3889876682256377,0.9254720706440356
Baseline,目标时刻上周同期,次日00:10端点,12,30,172.38007333333334,218.7143669467402,5.236864302523896,-26.534299999999998,5.3038159149207305,0.7972639929496428
Baseline,目标时刻上周同期,最后10分钟区间平均,12,30,137.49274,164.5643599807635,4.201930800832319,-17.239649999999983,4.228706034518875,0.8741374565836416
XGBoost,XGBoost跨日边界,次日00:10端点,2,28,200.67581079799103,275.9716396808395,6.38473904604488,38.27511356026788,7.20768366447072,0.6673894748933755
XGBoost,XGBoost跨日边界,最后10分钟区间平均,2,28,107.53942082868298,153.11337231665954,3.4368128853774187,23.037494001116038,3.8185773567647394,0.8812652444034546
XGBoost,XGBoost跨日边界,次日00:10端点,3,31,91.50669928175405,110.04680532270422,2.8769300774238595,-9.207249130544428,3.04884794104651,0.9361420225685445
XGBoost,XGBoost跨日边界,最后10分钟区间平均,3,31,80.3982286353327,92.29443116665969,2.532056229486423,-14.989001644405313,2.652439272078019,0.9526785477669484
XGBoost,XGBoost跨日边界,次日00:10端点,4,30,102.96158671875001,126.28498709758756,3.256579864247479,-11.578513671874967,3.386464215628461,0.9285684314508267
XGBoost,XGBoost跨日边界,最后10分钟区间平均,4,30,99.53279348958338,127.14441483982915,3.1581882009433007,-5.665529622395858,3.25079786803112,0.927030314097955
XGBoost,XGBoost跨日边界,次日00:10端点,5,31,143.49039751764116,204.98642273094683,4.483924674788998,-73.11021062247985,4.314713810789048,0.8449270433268775
XGBoost,XGBoost跨日边界,最后10分钟区间平均,5,31,127.03532873613909,189.16056563462803,3.944577828360775,-38.09219515498991,3.8611631588868955,0.8612590442320277
