规划日期,目标日期,24:00基础模型,边界预测方法,预测_当日24:00,实际_当日24:00,预测_次日00:10,实际_次日00:10,预测_最后区间平均负载,实际_最后区间平均负载
2025-12-01,2025-12-02,Baseline,目标时刻上周同期,3408.88,3762.77,3335.9676,3647.0472,3372.4238,3704.9085999999998
2025-12-02,2025-12-03,Baseline,XGBoost跨日边界,3354.59,3371.95,3370.873046875,3520.0258,3362.7315234375,3445.9879
2025-12-02,2025-12-03,Baseline,历史跨日比例,3354.59,3371.95,3321.4948092909053,3520.0258,3338.0424046454527,3445.9879
2025-12-02,2025-12-03,Baseline,目标时刻上周同期,3354.59,3371.95,3232.8252,3520.0258,3293.7076,3445.9879
2025-12-03,2025-12-04,Baseline,XGBoost跨日边界,3513.5,3611.5,3370.74755859375,3677.5108,3442.123779296875,3644.5054
2025-12-03,2025-12-04,Baseline,历史跨日比例,3513.5,3611.5,3453.8404465359636,3677.5108,3483.670223267982,3644.5054
2025-12-03,2025-12-04,Baseline,目标时刻上周同期,3513.5,3611.5,3300.0173,3677.5108,3406.7586499999998,3644.5054
2025-12-04,2025-12-05,Baseline,XGBoost跨日边界,2286.92,2450.92,2462.136962890625,2446.3843,2374.5284814453125,2448.65215
2025-12-04,2025-12-05,Baseline,历史跨日比例,2286.92,2450.92,2264.358061421383,2446.3843,2275.6390307106913,2448.65215
2025-12-04,2025-12-05,Baseline,目标时刻上周同期,2286.92,2450.92,2358.9521,2446.3843,2322.9360500000003,2448.65215
2025-12-05,2025-12-06,Baseline,XGBoost跨日边界,2575.09,2772.61,2520.576416015625,2772.0127,2547.8332080078126,2772.31135
2025-12-05,2025-12-06,Baseline,历史跨日比例,2575.09,2772.61,2549.6850787896337,2772.0127,2562.387539394817,2772.31135
2025-12-05,2025-12-06,Baseline,目标时刻上周同期,2575.09,2772.61,2495.8762,2772.0127,2535.4831000000004,2772.31135
2025-12-06,2025-12-07,Baseline,XGBoost跨日边界,3455.21,3490.74,3494.337890625,3534.9738,3474.7739453125,3512.8568999999998
2025-12-06,2025-12-07,Baseline,历史跨日比例,3455.21,3490.74,3446.2239385287367,3534.9738,3450.7169692643683,3512.8568999999998
2025-12-06,2025-12-07,Baseline,目标时刻上周同期,3455.21,3490.74,3451.9161,3534.9738,3453.5630499999997,3512.8568999999998
2025-12-07,2025-12-08,Baseline,XGBoost跨日边界,3542.73,3502.98,3629.1259765625,3411.0941,3585.92798828125,3457.03705
2025-12-07,2025-12-08,Baseline,历史跨日比例,3542.73,3502.98,3533.516322812191,3411.0941,3538.1231614060953,3457.03705
2025-12-07,2025-12-08,Baseline,目标时刻上周同期,3542.73,3502.98,3853.1437,3411.0941,3697.93685,3457.03705
2025-12-08,2025-12-09,Baseline,XGBoost跨日边界,3762.77,3470.38,3614.874267578125,3493.1053,3688.8221337890627,3481.74265
2025-12-08,2025-12-09,Baseline,历史跨日比例,3762.77,3470.38,3757.494737225271,3493.1053,3760.132368612635,3481.74265
2025-12-08,2025-12-09,Baseline,目标时刻上周同期,3762.77,3470.38,3647.0472,3493.1053,3704.9085999999998,3481.74265
2025-12-09,2025-12-10,Baseline,XGBoost跨日边界,3371.95,3389.92,3399.625,3482.16,3385.7875,3436.04
2025-12-09,2025-12-10,Baseline,历史跨日比例,3371.95,3389.92,3367.22265224469,3482.16,3369.586326122345,3436.04
2025-12-09,2025-12-10,Baseline,目标时刻上周同期,3371.95,3389.92,3520.0258,3482.16,3445.9879,3436.04
2025-12-10,2025-12-11,Baseline,XGBoost跨日边界,3611.5,3714.23,3369.474609375,3848.8115,3490.4873046875,3781.5207499999997
2025-12-10,2025-12-11,Baseline,历史跨日比例,3611.5,3714.23,3606.4368121062585,3848.8115,3608.968406053129,3781.5207499999997
2025-12-10,2025-12-11,Baseline,目标时刻上周同期,3611.5,3714.23,3677.5108,3848.8115,3644.5054,3781.5207499999997
2025-12-11,2025-12-12,Baseline,XGBoost跨日边界,2450.92,2433.78,2464.79248046875,2287.6078,2457.856240234375,2360.6939
2025-12-11,2025-12-12,Baseline,历史跨日比例,2450.92,2433.78,2449.487752491663,2287.6078,2450.2038762458315,2360.6939
2025-12-11,2025-12-12,Baseline,目标时刻上周同期,2450.92,2433.78,2446.3843,2287.6078,2448.65215,2360.6939
2025-12-12,2025-12-13,Baseline,XGBoost跨日边界,2772.61,2687.78,2526.604736328125,2699.8904,2649.607368164063,2693.8352000000004
2025-12-12,2025-12-13,Baseline,历史跨日比例,2772.61,2687.78,2781.3893751777905,2699.8904,2776.9996875888955,2693.8352000000004
2025-12-12,2025-12-13,Baseline,目标时刻上周同期,2772.61,2687.78,2772.0127,2699.8904,2772.31135,2693.8352000000004
2025-12-13,2025-12-14,Baseline,XGBoost跨日边界,3490.74,3530.51,3402.846435546875,3556.1474,3446.7932177734374,3543.3287
2025-12-13,2025-12-14,Baseline,历史跨日比例,3490.74,3530.51,3501.7933093756856,3556.1474,3496.2666546878427,3543.3287
2025-12-13,2025-12-14,Baseline,目标时刻上周同期,3490.74,3530.51,3534.9738,3556.1474,3512.8568999999998,3543.3287
2025-12-14,2025-12-15,Baseline,XGBoost跨日边界,3502.98,3657.78,3505.465576171875,3435.7699,3504.2227880859373,3546.77495
2025-12-14,2025-12-15,Baseline,历史跨日比例,3502.98,3657.78,3522.3411221623633,3435.7699,3512.6605610811816,3546.77495
2025-12-14,2025-12-15,Baseline,目标时刻上周同期,3502.98,3657.78,3411.0941,3435.7699,3457.03705,3546.77495
2025-12-15,2025-12-16,Baseline,XGBoost跨日边界,3470.38,3375.46,3515.13671875,3434.511,3492.758359375,3404.9855
2025-12-15,2025-12-16,Baseline,历史跨日比例,3470.38,3375.46,3489.5609405505666,3434.511,3479.9704702752833,3404.9855
2025-12-15,2025-12-16,Baseline,目标时刻上周同期,3470.38,3375.46,3493.1053,3434.511,3481.74265,3404.9855
2025-12-16,2025-12-17,Baseline,XGBoost跨日边界,3389.92,3615.65,3415.01806640625,3625.6262,3402.469033203125,3620.6381
2025-12-16,2025-12-17,Baseline,历史跨日比例,3389.92,3615.65,3408.6562346461124,3625.6262,3399.288117323056,3620.6381
2025-12-16,2025-12-17,Baseline,目标时刻上周同期,3389.92,3615.65,3482.16,3625.6262,3436.04,3620.6381
2025-12-17,2025-12-18,Baseline,XGBoost跨日边界,3714.23,3385.65,3399.955322265625,3339.3699,3557.0926611328123,3362.50995
2025-12-17,2025-12-18,Baseline,历史跨日比例,3714.23,3385.65,3734.7587100608953,3339.3699,3724.494355030448,3362.50995
2025-12-17,2025-12-18,Baseline,目标时刻上周同期,3714.23,3385.65,3848.8115,3339.3699,3781.5207499999997,3362.50995
2025-12-18,2025-12-19,Baseline,XGBoost跨日边界,2433.78,2446.27,2478.52099609375,2469.608,2456.1504980468753,2457.9390000000003
2025-12-18,2025-12-19,Baseline,历史跨日比例,2433.78,2446.27,2442.620581542486,2469.608,2438.200290771243,2457.9390000000003
2025-12-18,2025-12-19,Baseline,目标时刻上周同期,2433.78,2446.27,2287.6078,2469.608,2360.6939,2457.9390000000003
